doc_id,sentence,mtp_words
9071496,Efter den ærgerlige besked om en aflysning af torsdagens testkamp mod Norge er der kommet en god nyhed i landsholdslejren.,"lejren, kommet"
9071496,"DHF Hvis en spiller afleverer en positiv test, går der mindst 14 dage, før han kan træde ind i EM-sluturunden.","ind, går, træde"
9071496,"Derfor har det naturligvis stor betydning, at der torsdag ikke er yderligere coronasmitte i den danske lejr.","lejr, stor"
9394252,Mikkel så med: Aalborg i stor triumf,stor
9394252,Aalborg Håndbold løb GOG over ende i anden halvleg og vandt herrernes Super Cup med 36-31,"løb, over, ende"
9394252,Aalborg Håndbold har revancheret sidste sæsons tætte DM-finalenederlag til GOG.,tætte
9394252,"Tirsdag aften var nordjyderne klart bedst, da de to hold åbnede herrernes håndboldsæson med en Super Cup-dyst i Aalborg.","klart, åbnede"
9394252,"Han havde første arbejdsdag i klubben mandag, men den hjemvendte superstjerne måtte nøjes med at følge kampen fra tribunen.",følge
9394252,"Han ventes først at være kampklar i midten af september, hvor han vil være færdig med at tage den blodfortyndende medicin, der aktuelt forhindrer ham i at spille for fuld kraft.","fuld, tage"
9394252,Hansen blev ramt af en blodprop i lungerne i marts.,ramt
9394252,Fra sin siddeplads var han vidne til en kamp i et opskruet tempo og med en høj underholdningsværdi.,"vidne, var, til, opskruet, høj"
9394252,"GOG fik den bedste indledning på kampen og var flere gange foran med tre mål, før hjemmeholdet fik bedre fat om kampen.","fat, foran, gange"
9394252,"Ser man på spillerne i de to holds trupper, har Aalborg flest etablerede profiler, og efterhånden som anden halvleg skred frem, blev forskellen på holdene større.","større, profiler"
9394252,"GOG måtte slide hårdt for hvert eneste mål, mens aalborgenserne næsten scorede efter behag.",hårdt
9394252,"GOG var også hæmmet af, at den gennembrudsstærke landsholdsspiller Mathias Gidsel i sommerpausen er rejst til tysk håndbold.",gennembrud
9394252,"Før de sidste seks minutter var forspringet vokset til seks mål, og afslutningen på kampen var blottet for spænding.",vokset
9259262,"Sådan lyder sigtelsen mod en forretningsmand sidst i 30´erne, der onsdag blev fremstillet i Københavns dommervagt, hvor han nægtede sig skyldig.",lyder
9259262,"Grundlovsforhøret blev holdt for lukkede døre, hvorfor den sigtedes forklaring ikke kendes.",holdt
9259262,"Kvinden græd undervejs og sagde 'nej' og 'stop', lyder sigtelsen.","undervejs, lyder"
9259262,"Fik presset kokainrør op i næsen Voldtægten startede med, at kvinden fik presset et rør op i sin næse og med et hårdt tag i sit hoved blev tvunget til at sniffe kokain, mens forretningsmanden holdt hende for det andet næsebor og sagde: 'Gør som jeg siger, din so.",hårdt
9259262,"Hun blev udsat for flere seksuelle overgreb og voldtægt, som den sigtede skal have optaget på sin mobiltelefon.",optaget
9259262,"Det skete, mens han kom med kommentarer som, 'du har ingen grænser med mig' og 'gør, som jeg siger, ellers bliver det værst for dig selv.",grænser
9267285,"Frankrigs nye ministre har knap nok fundet sig til rette på taburetterne, før den første skandalesag ryster den nye regering.","taburetterne, ryster"
9267285,Men Abad nægter sig skyldig og afviser at træde tilbage fra sin nye ministerpost.,"tilbage, træde"
9267285,"Men sagen har udviklet sig til lidt af en hovedpine for præsident Emmanuel Macron og hans nye premierminister, Elisabeth Borne.",hovedpine
9267285,"Det blev ellers set som en sejr for Macron, at han kunne få Abad med i sin regering.",set
9267285,Den 42-årige politiker var afhoppet fra den konservative fløj.,"fløj, afhoppet"
9267285,"Beskyldningerne om voldtægt kommer kun få uger, inden franskmændene skal stemme ved parlamentsvalg i juni.",kommer
9267285,"I valgkampen er en række af de opstillede kandidater blevet tvunget til at trække sig efter anklager om, at de har været voldelige over for kvinder.","række, trække, sig"
9417278,"Han er spektakulær, siger Barcelonas cheftræner om Lewandowski, der scorede tre mål på sin hustrus fødselsdag",mål
9417278,Den polske angrebsstjerne Robert Lewandowski dedikerer sit hattrick for FC Barcelona i Champions League onsdag aften til sin hustru.,stjerne
9417278,Det fortæller han efter 5-1-sejren hjemme over tjekkiske Plzen.,hjemme
9417278,"- Det er min hustrus fødselsdag i dag, så målene var for hende.",målene
9417278,"Det betyder meget for mig, at hun er på stadion på sin fødselsdag.",betyder
9417278,Efter skiftet fra Bayern München har Robert Lewandowski scoret otte mål i sine første fem kampe for Barcelona.,"mål, kampe"
9417278,"- Jeg vidste fra starten, at det var vigtigt at tilpasse sig lige fra den første kamp, siger han.","tilpasse, lige"
9417278,"- Folk spørger altid om målene, men det er også vigtigt at være i den rette position og at hjælpe mit hold, for mine holdkammerater har hjulpet mig rigtig meget både på og uden for banen, tilføjer han.","målene, rette, banen"
9417278,"Sejren placerer fra start Barcelona på førstepladsen i Champions Leagues gruppe C, der også tæller storholdene Inter og Bayern München.","tæller, placerer"
9417278,Sidstnævnte slog onsdag aften Inter 2-0 på udebane.,slog
9417278,") er den bedste angriber i Europa, men for os er han den bedste, siger Barcelonas cheftræner, Xavi Hernandez, ifølge AFP.",angriber
9417278,Han peger blandt andet på Lewandowskis pres og løsninger i angrebet.,"angrebet, pres, peger"
9417278,- Han har en total modenhed som spiller og er fuldstændig spektakulær.,"modenhed, total, fuldstændig"
9299101,"Kasper Asgreen drømmer om at iføre sig den gule førertrøje i København, når Tour-feltet snart rammer den danske hovedstad - men nu har drømmen lidt et knæk","drømmer, feltet, rammer, drømmen, knæk"
9299101,"Han er måske det bedste bud på en dansker i den gule førertrøje, når Tour de France inden længe rammer København.","bud, rammer"
9299101,"etape venter der nemlig en otte kilometer lang enkeltstart i de københavnske gader - umiddelbart ren guf for en rytter som Kasper Asgreen, der da også har bebudet, at han sætter alle sejl ind for at vinde.","venter, ren, guf, sætter, rytter, sejl, alle, ind"
9299101,Tirsdag var den brølstærke Quick-Step-rytter involveret i et større styrt under tredje etape af Schweiz Rundt og måtte efterfølgende udgå.,"brølstærke, udgå, rytter"
9299101,Og ifølge sportsdirektør Brian Holm har danskerens Tour-drøm lidt et knæk.,"drøm, knæk"
9299101,"27-årige Kasper Asgreen har pådraget sig adskillige skræmmer på både arm og ben, mens han har fået et dybt sår på det venstre knæ, der efterfølgende måtte syes.",fået
9299101,"Det var da også en skuffet dansker, der tirsdag trak sig fra cykelløbet: - Jeg er skuffet over at måtte sige farvel til Schweiz Rundt.","sige, til, farvel, måtte"
9299101,"Jeg vil gerne takke holdets lægestab for, hvordan de tog sig af mig, og samtidig håber jeg, at jeg kommer mig hurtigt, udtalte Asgreen i en pressemeddelelse.","tog, af, sig, kommer, mig"
9299101,Kasper Asgreen har stadig sin første sejr i 2022 til gode.,"har, gode, til"
9299101,"juli, og de danske ryttere står på spring for at byde sig til - få her eksperternes bud på, hvem der bliver den næste danske Tour-vinder.","på, ryttere, bud, spring"
9488036,Ifølge Nord Stream AG afventer selskabet de danske myndigheders tilladelse til at undersøge eksplosion,selskabet
9488036,Et russisk fartøj befinder sig i Østersøen og er klar til at undersøge eksplosionerne på gasrørledningen Nord Stream 1.,klar
9488036,Ifølge det russiskejede selskab bag rørledningerne har de danske myndigheder endnu ikke givet selskabet tilladelse til at undersøge skaderne.,givet
9488036,"- Nord Stream AG afventer stadig myndighedernes beslutning om at give den nødvendige tilladelse til at kunne undersøge skaderne, skriver selskabet i en pressemeddelelse.",give
9488036,Specialister vil inden for 24 timer være klar til at påbegynde undersøgelserne.,klar
9488036,"Nord Stream AG vurderer i øjeblikket, at arbejdet vil tage mellem tre og fem dage.","vurderer, tage"
9488036,"Jimmie Adamsson, der er kommunikationschef i den svenske flåde, mener dog ikke, at tilladelsen er nødvendig.",flåde
9488036,"Han bekræfter også, at de har kendt til selskabets planer om en undersøgelse i noget tid.",selskabets
9488036,Den svenske flåde har øget sin tilstedeværelse i området.,flåde
9488036,"Samtidig har det svenske forsvar også skibe i området klar, til at foretage nye undersøgelser af gasrørledningerne.",klar
9488036,"Københavns Politi har endnu ikke oplyst, hvornår efterforskningen er færdig.",oplyst
9213363,Falsk profil kontakter kvinder: - Det er grænseoverskridende,"profil, grænseoverskridende"
9213363,"Felix Smith har opdaget flere falske profiler i sit navn, der tager kontakt til kvinder gennem Instagram og over mail",profiler
9213363,"Falske profiler på sociale medier, der rækker ud til deres følgere og udgiver sig for at være dem.",følgere
9213363,"Nu advarer tv-vært Felix Smith sine følgere på Instagram om at flere falske profiler i hans navn er i omløb, og at det har tvunget ham til tasterne.","følgere, omløb, profiler"
9213363,'Et lille udpluk af de mange falske profiler der i disse uger bliver oprettet i mit navn.,profiler
9213363,"Er sikker på, det er samme person, og IG er flinke til at slette, så snart der bliver anmeldt, men vedkommende giver ikke op så let', skriver han i opslaget og tilføjer: 'Det er grænseoverskridende at se min profil blive brugt til at kontakte kvinder, og i nogle tilfælde skriver han også til dem på mail'.","grænseoverskridende, profil"
9213363,"felix Svært at gennemskue Til Ekstra Bladet fortæller Felix Smith, at han er blevet kontaktet af op imod 20 personer, der har modtaget beskeder fra de falske profiler.",profiler
9213363,"- I starten havde jeg egentlig tænkt, at jeg bare ville ignorere det, for personen, der har oprettet de falske profiler, får jo bare unødig opmærksomhed.","profiler, får"
9213363,"Men omfanget kan jo være langt større end dem, der har kontaktet mig, siger han.","omfanget, større"
9213363,"Der findes jo masser af falske profiler, og de fleste kan godt se, at det ikke er mig, når der kun er få følgere, og profilen ikke er certificeret, men det bliver jo langt sværere at gennemskue for folk, hvis han kontakter dem på mail, siger han.","langt, følgere, profiler, profilen"
9213363,"000 følgere på det sociale medie vil hjælpe med at anmelde profilerne og lade være med at svare, skulle man få en besked fra den falske Felix.","følgere, profilerne"
9059684,"21 (corona, pressemøde) Skaber bekymring Ifølge de seks forfattere bag artiklen kan superspreder-eventen dog skabe tvivl om vaccinernes effekt til at beskytte mod infektion med coronavarianten.","Skaber, skabe"
9059684,"'Der er bekymring for, at SARS-CoV-2-omikronvarianten undviger immunrespons på grund af usædvanligt høje antal mutationer i spikeproteinet', lyder det blandt andet.","undviger, høje, lyder"
9059684,"Ifølge virolog og professor ved Københavns Universitet Allan Randrup Thomsen skal man bide mærke i, at alle undgik alvorlig sygdom.","bide, mærke, i"
9059684,"'Lad mig starte med at slå fast, at for nuværende er effekten af vaccine over for omikron primært at beskytte mod alvorlig sygdom – ingen i historien havde nødig at blive indlagt', skriver han i en mail til Ekstra Bladet.","slå, fast"
9059684,"Den isolerede case fra Færøerne skal man dog også passe på med at konkludere for meget på, understreger han.","understreger, isolerede"
9059684,"'Med hensyn til smitte er effekten mindre, nok omkring 50 procent.",mindre
9059684,"Set i dette lys er 21/33 lidt dårligere, men næppe så markant, at man ikke kan få dette tal ved en tilfældighed.","i, dette, Set, lys"
9059684,"Historien understreger dog, at vi stadig skal passe på os selv og ældre, sårbare, selv efter tredje stik'.",understreger
9059684,Sagen kort om vaccine: Sådan fungerer Moderna og Pfizers coronavaccine Nyt omikron-studie Statens Serum Institut har 22.,kort
9059684,"december offentliggjort en preprint-artikel på baggrund af et studie, hvor vaccine-effekten fra Pfizer og Moderna, som vi bruger i Danmark, over for delta- og omikronvarianten er blevet undersøgt.",baggrund
9059684,"Her lyder konklusionen, at 'covid-19-vaccinernes beskyttelse mod omikronvarianten aftager over tid, men stiger igen efter revaccination'.","stiger, lyder"
9059684,"Derfor er det vigtigt at estimere, hvor høj beskyttelse covid-19-vaccinerne giver mod netop denne variant, siger konstitueret afdelingschef  Palle Valentiner-Branth i artiklen.","høj, siger"
9059684,"Helt konkret viser studiet, at Pfizer-vaccinens beskyttelse ligger på 54, 6 procent mod infektion med omikronvarianten for personer på 60 år og derover, som for nyligt er blevet revaccineret.","ligger, derover"
9059684,"- Vi ser, at beskyttelsen er lavere og falder hurtigere mod omikron- end mod deltavarianten efter et primært vaccinationsforløb.","lavere, falder"
9059684,"Revaccination med vaccinen fra Pfizer-BioNTech beskytter mod infektion med omikronvarianten blandt personer på 60 år og derover, som for nyligt er blevet revaccineret, siger Palle Valentiner-Branth.",derover
9059684,"Men studierne fortsætter, lover afdelingschefen: - Vi har nu et foreløbigt billede af, i hvor høj grad vaccinerne fra Pfizer-BioNTech og Moderna virker mod omikronvarianten.","billede, høj"
9453941,Stor begivenhed i fremtidsby,Stor
