doc_id,sentence,mtp_words,mtp_type
9532265,England knuser naboerne: Buldrer videre fra gruppespillet,knuser,single_word
9532265,"Marcus Rashford scorede to gange, da England sendte Wales ud af VM.",gange,single_word
9532265,"Wales skulle bruge et mindre mirakel, men var reelt aldrig tæt på at spille sig videre fra gruppespillet ved VM.",mindre,single_word
9532265,"Wales skulle bruge et mindre mirakel, men var reelt aldrig tæt på at spille sig videre fra gruppespillet ved VM.",mirakel,single_word
9532265,"Wales skulle bruge et mindre mirakel, men var reelt aldrig tæt på at spille sig videre fra gruppespillet ved VM.",tæt,single_word
9532265,I stedet tog England med en sikker 3-0-sejr førstepladsen i gruppe B med syv point efter tre kampe.,tog,single_word
9532265,I stedet tog England med en sikker 3-0-sejr førstepladsen i gruppe B med syv point efter tre kampe.,kampe,single_word
9532265,Marcus Rashford fik chancen fra start og markerede sig med to scoringer.,fik,single_word
9532265,"Kun et firemålsnederlag kunne forhindre England i at avancere, så der blev roteret på Gareth Southgates mandskab, hvilket gav plads til Marcus Rashford, Jordan Henderson, Phil Foden og Kyle Walker fra start.",roteret,single_word
9532265,"Kun et firemålsnederlag kunne forhindre England i at avancere, så der blev roteret på Gareth Southgates mandskab, hvilket gav plads til Marcus Rashford, Jordan Henderson, Phil Foden og Kyle Walker fra start.",mandskab,single_word
9532265,Opgøret var dog meget som holdets tidligere kampe.,Opgøret,single_word
9532265,Opgøret var dog meget som holdets tidligere kampe.,kampe,single_word
9532265,England havde bolden meget og forsøgte at kontrollere kampen.,kampen,single_word
9532265,"Mod Iran omsatte England sit overtag til en underholdende 6-2-sejr, mens det kneb gevaldigt med overhovedet at skabe chancer mod USA i et målløst opgør, hvor amerikanerne var farligst.",skabe,single_word
9532265,"Mod Iran omsatte England sit overtag til en underholdende 6-2-sejr, mens det kneb gevaldigt med overhovedet at skabe chancer mod USA i et målløst opgør, hvor amerikanerne var farligst.",omsatte,single_word
9532265,"Mod Iran omsatte England sit overtag til en underholdende 6-2-sejr, mens det kneb gevaldigt med overhovedet at skabe chancer mod USA i et målløst opgør, hvor amerikanerne var farligst.",farligst,single_word
9532265,"Mod Iran omsatte England sit overtag til en underholdende 6-2-sejr, mens det kneb gevaldigt med overhovedet at skabe chancer mod USA i et målløst opgør, hvor amerikanerne var farligst.",opgør,single_word
9532265,"England truede således kun sjældent den walisiske defensiv, og det var 0-0 efter tamme 45 minutter.",tamme,single_word
9532265,"England truede således kun sjældent den walisiske defensiv, og det var 0-0 efter tamme 45 minutter.",truede,single_word
9532265,"Wales-stjernen Gareth Bale gik ud i pausen, og i fraværet af talismanen kom holdet hurtigt bagud.",stjernen,single_word
9532265,"Wales-stjernen Gareth Bale gik ud i pausen, og i fraværet af talismanen kom holdet hurtigt bagud.",kom,single_word
9532265,"Wales-stjernen Gareth Bale gik ud i pausen, og i fraværet af talismanen kom holdet hurtigt bagud.",talismanen,single_word
9532265,"Wales-stjernen Gareth Bale gik ud i pausen, og i fraværet af talismanen kom holdet hurtigt bagud.",bagud,single_word
9532265,"En af de nye, Marcus Rashford, misbrugte i første halvleg Englands hidtil største chance efter en duel med keeper Danny Ward, men efter 50 minutter tog han revanche.",misbrugte,single_word
9532265,"En af de nye, Marcus Rashford, misbrugte i første halvleg Englands hidtil største chance efter en duel med keeper Danny Ward, men efter 50 minutter tog han revanche.",hidtil,single_word
9532265,"En af de nye, Marcus Rashford, misbrugte i første halvleg Englands hidtil største chance efter en duel med keeper Danny Ward, men efter 50 minutter tog han revanche.",største,single_word
9532265,"En af de nye, Marcus Rashford, misbrugte i første halvleg Englands hidtil største chance efter en duel med keeper Danny Ward, men efter 50 minutter tog han revanche.",duel,single_word
9532265,Manchester United-profilen krøllede således bolden over muren og i nettet til 1-0 bag en ikke helt sagesløs Ward direkte på frispark.,muren,single_word
9532265,"To minutter senere pressede Rashford bolden fra Ben Davies, og Harry Kane smed et fladt indlæg til bageste stolpe, hvor Phil Foden nemt scorede sit første mål ved en større slutrunde.",nemt,single_word
9532265,"To minutter senere pressede Rashford bolden fra Ben Davies, og Harry Kane smed et fladt indlæg til bageste stolpe, hvor Phil Foden nemt scorede sit første mål ved en større slutrunde.",større,single_word
9532265,Og efter 68 minutter blev kampen lukket og slukket.,kampen,single_word
9532265,Og efter 68 minutter blev kampen lukket og slukket.,slukket,single_word
9532265,"England var i slutfasen tættere på 4-0, end Wales var på en reducering, men det endte uden flere scoringer.",tættere,single_word
9532265,Hvad tjener de danske VM-stjerner?,stjerner,single_word
9532265,Med Ekstra Bladet+ får du et unikt indblik i lønhierarkiet på landsholdet.,unikt,single_word
9532265,Få det fulde overblik over samtlige spillere LIGE HER .,fulde,single_word
9057768,Offerets tilstand er dog stabil nu.,stabil,single_word
9057768,"Retsmødet blev holdt for lukkede døre, og et et eventuelt motiv til, at offeret skulle stikkes, blev behandlet i grundlovsforhørets lukkede del, oplyser anklageren.",lukkede,single_word
9057768,"Retsmødet blev holdt for lukkede døre, og et et eventuelt motiv til, at offeret skulle stikkes, blev behandlet i grundlovsforhørets lukkede del, oplyser anklageren.",oplyser,single_word
9057768,"Ved retsmødets afslutning fandt dommeren dog, at der var begrundet mistanke, og den 36-årige blev varetægtsfængslet i foreløbigt fire uger.",fandt,single_word
9231225,Viborg tromler over NFH og booker semifinaleplads,tromler,single_word
9231225,Med en sejr på 28-22 over Nykøbing Falster er Viborg HK klar til at møde Team Esbjerg i DM-semifinalerne,klar,single_word
