doc_id,tagged_word,Sentence,tag,type
9206163,absorbere,"Med den hast, som ukrainerne lige nu flygter mod Danmark, er det nemlig ikke muligt for velfærdssamfundet at absorbere dem på normal vis, siger han.",MTP,single_word
9090115,adgang,"Som ventet er det ikke lykkes Demokraterne i USA's Senat at få tilstrækkelig med støtte fra Republikanerne ved en procedureafstemning om en valgreform, der skal sikre lige adgang for alle til at stemme.",MTP,single_word
9154369,adgang,"De skal blandt andet hindre landets adgang til internationale valuta, som eksempelvis den amerikanske dollar, som benyttes i mange internationale handler.",MTP,single_word
9268656,afdækker,"AFSLØRING: Nye dokumenter afdækker, at den fallerede franske stjerne spillede en helt central rolle, da VM 2022 skulle placeres",MTP,single_word
9448683,afgav,"Hun besluttede at anlægge sagen efter at den tidligere præsident nægtede at svare på flere hundrede spørgsmål, da han afgav forklaring under ed.",MTP,single_word
9405240,afgiftsknappen,"Men en sikker hånd på rattet er med til at sikre, at man ikke bliver ved med at skrue på skatte- og afgiftsknappen, siger han.",MTP,single_word
9264531,afgive,Men han måtte afgive topplaceringen til den upåagtede chilener Mito Pereira efter at have gået en runde i tre slag over par.,MTP,single_word
9448683,afgivet,En lang række højt profilerede vidner har afgivet erklæring i de offentlige høringer.,MTP,single_word
9448683,afgående,Som udgangspunkt må en afgående præsident ikke tage officielle dokumenter med sig ud i livet som privatperson.,MTP,single_word
9268656,afsløret,Platini afsløret af nye dokumenter: Tvang Qatar-afstemning igennem,MTP,single_word
9268656,afsløring,"AFSLØRING: Nye dokumenter afdækker, at den fallerede franske stjerne spillede en helt central rolle, da VM 2022 skulle placeres",MTP,single_word
9454859,afstanden,"Midtvejs lød føringen på 54-36, og hjemmeholdet fortsatte med at øge afstanden helt frem til slutningen af opgøret, så der til sidst var 41 point mellem holdene.",MTP,single_word
9130831,aggressivt,"Artiklen fortsætter under billederne ... For sidstnævnte gælder det, at det kan sættes i et særligt sportprogram, hvor gearkassen hurtigere skifter hurtigere og mere aggressivt, som kan være en fordel under eksempelvis udrykningskørsel.",MTP,single_word
9348201,angreb,"Så Wout van Aert angreb, og Pogacar faldt af.",MTP,single_word
9348201,angrebet,Måske ville jeg selv have angrebet senere.,MTP,single_word
9367547,angriber,Den brasilianske angriber Gabriel Martinelli så længe ud til at blive opgørets eneste målscorer.,MTP,single_word
9264442,anker,"Der er for lidt fodbold i knokleren, og det har topprioritet at finde et nyt defensivt anker til midtbanen.",MTP,single_word
9448683,anlægge,"Hun besluttede at anlægge sagen efter at den tidligere præsident nægtede at svare på flere hundrede spørgsmål, da han afgav forklaring under ed.",MTP,single_word
9126957,atletikstjerne,Det bekendtgjorde den 40-årige atletikstjerne natten til fredag dansk tid i et opslag på det sociale medie Instagram.,MTP,single_word
9454859,avancerer,Tre af gruppens fire hold avancerer til turneringens knockoutfase.,MTP,single_word
9288146,baggrund,Mediet kommer med afsløringen på baggrund af anonyme kilder tæt på det nu tidligere par.,MTP,single_word
9167351,baggrund,Det skriver Expressen på baggrund af en episode i radioprogrammet 'Gry Forssell med venner'.,MTP,single_word
9261229,baggrund,"Den 17-årige var offentligt efterlyst, indtil han på baggrund af tip blev anholdt af politiet.",MTP,single_word
9074978,baggrund,Regeringen anfægter desuden Djokovics krav om dispensation fra vaccination på baggrund af coronasmitte i december.,MTP,single_word
9074978,baggrund,"Ifølge hans advokater havde han fået dispensation på baggrund af, at han var smittet med coronavirus i midten af december.",MTP,single_word
9183086,baggrunden,"Motiv: Hævn for ydmygelse Ved onsdagens retsmøde uddybede anklageren ikke baggrunden for, at LTF og Sydkystgruppen var røget i konflikt.",MTP,single_word
9240183,bagsiden,"Lektor Jens Arnholtz forklarer, at vi her ser bagsiden ved at åbne arbejdsmarkedet og sidestille krigsflygtninge med andre EU-borgere.",MTP,single_word
9532265,bagud,"Wales-stjernen Gareth Bale gik ud i pausen, og i fraværet af talismanen kom holdet hurtigt bagud.",MTP,single_word
9471224,bagud,Med omtrent fire og et halvt minut tilbage af tredje periode kom Danmark for første gang i kampen bagud med to.,MTP,single_word
