annotator	filename	mark	label	offset	span
sample2	t9_9299101	T1	MTP	drømmer	57 64
sample2	t9_9299101	T2	MTP	feltet	123 129
sample2	t9_9299101	T3	MTP	rammer	136 142
sample2	t9_9299101	T4	MTP	drømmen	177 184
sample2	t9_9299101	T5	MTP	knæk	193 197
sample2	t9_9299101	T6	MTP	lidt	185 189
sample2	t9_9299101	T7	MTP	bud	222 225
sample2	t9_9299101	T8	MTP	rammer	294 300
sample2	t9_9299101	T9	MTP	venter	324 330
sample2	t9_9299101	T10	MTP	guf	419 422
sample2	t9_9299101	T11	MTP	ren	415 418
sample2	t9_9299101	T12	WIDLII	rytter	430 436
sample2	t9_9299101	T13	MTP	sætter	489 495
sample2	t9_9299101	T14	MTP	alle	496 500
sample2	t9_9299101	T15	MTP	sejl	501 505
sample2	t9_9299101	T16	MTP	ind	506 509
sample2	t9_9299101	T17	MTP	brøl	567 571
sample2	t9_9299101	T18	MTP	involveret	596 606
sample2	t9_9299101	T19	MTP	udgå	684 688
sample2	t9_9299101	T20	MTP	drøm	746 750
sample2	t9_9299101	T21	MTP	lidt	751 755
sample2	t9_9299101	T22	MTP	knæk	759 763
sample2	t9_9299101	T23	MTP	sige	850 854
sample2	t9_9299101	T24	MTP	kommer	1117 1123
sample2	t9_9299101	T25	MTP	til	1124 1127
sample2	t9_9299101	T26	MTP	køre	1131 1135
sample2	t9_9299101	T27	MTP	sige	1417 1421
sample2	t9_9299101	T28	MTP	farvel	1422 1428
sample2	t9_9299101	T29	MTP	til	1429 1432
sample2	t9_9299101	T30	MTP	tog	1579 1582
sample2	t9_9299101	T31	MTP	sig	1583 1586
sample2	t9_9299101	T32	MTP	af	1587 1589
sample2	t9_9299101	T33	MTP	kommer	1625 1631
sample2	t9_9299101	T34	MTP	mig	1632 1635
sample2	t9_9299101	T35	WIDLII	udtalte	1645 1652
sample2	t9_9299101	T36	MTP	har	1699 1702
sample2	t9_9299101	T37	MTP	til	1733 1736
sample2	t9_9299101	T38	MTP	gode	1737 1741
sample2	t9_9299101	T39	MTP	blev	1747 1751
sample2	t9_9299101	T40	MTP	på	1890 1892
sample2	t9_9299101	T41	MTP	spring	1893 1899
sample2	t9_9299101	T42	MTP	bud	1942 1945
sample2	t12_9488036	T1	MTP	selskabet	58 67
sample2	t12_9488036	T2	MTP	klar	179 183
sample2	t12_9488036	T3	MTP	skriver	254 261
sample2	t12_9488036	T4	MTP	selskab	324 331
sample2	t12_9488036	T5	MTP	givet	388 393
sample2	t12_9488036	T6	MTP	give	507 511
sample2	t12_9488036	T7	MTP	selskabet	579 588
sample2	t12_9488036	T8	MTP	klar	653 657
sample2	t12_9488036	T9	MTP	vurderer	707 715
sample2	t12_9488036	T10	MTP	arbejdet	733 741
sample2	t12_9488036	T12	MTP	selskabets	1231 1241
sample2	t12_9488036	T13	MTP	tid	1276 1279
sample2	t12_9488036	T14	MTP	klar	1393 1397
sample2	t12_9488036	T15	MTP	oplyst	1757 1763
sample2	t8_9273904	T1	MTP	vilde	168 173
sample2	t8_9273904	T2	MTP	løb	197 200
sample2	t8_9273904	T3	MTP	rund	233 237
sample2	t8_9273904	T4	MTP	gang	315 319
sample2	t8_9273904	T5	MTP	tilbage	358 365
sample2	t8_9273904	T6	MTP	farverige	507 516
sample2	t8_9273904	T7	MTP	stor	587 591
sample2	t8_9273904	T8	MTP	spiller	576 583
sample2	t8_9273904	T9	MTP	en	584 586
sample2	t8_9273904	T10	MTP	rolle	592 597
sample2	t8_9273904	T11	MTP	kommer	607 613
sample2	t8_9273904	T12	MTP	til	614 617
